map_id,trigger_ref,working_name,public_safe_definition,definition_status,canon_level_now,source_handles,cluster_refs,layer_or_band,publication_lane,review_gates,correlation_refs,allowed_use_now,blocked_use_now,notes
TM001-RS-173,173,Reserved Slot 173,"Unausformulierter, bewusst reservierter Modulraum fuer spaetere Ausarbeitung.",reserved_slot,L0-ID-ANCHOR,silvi_directive_2026-05-23,Codex139 transition / reserved module room,101-200,hold_until_filled,fill_from_xport_002_tnpx_01_future_session,XPORT-002;TNPX-01;future session,Reserve ID anchor only.,"No inferred name, behavior, activation protocol, public canon claim or module semantics.",Silvi decision 2026-05-23: no source gap; reserved slot to be filled later.
TM001-174210-001,174,Impulsumkehrfeld,Lenkt spontane Impulse kontrolliert in ihre energetische Gegenrichtung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-002,175,Kernabsichtsfilter,Filtert unterschwellige Absichten aus Stoerquellen und gleicht sie mit dem Systemziel ab.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-003,176,Synchronisationsfenster,"Oeffnet ein kurzes Zeitfenster, in dem bewusste und unbewusste Prozesse auf gleiche Frequenz gebracht werden.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-004,177,Traumaschnittstelle,Erkennt tiefe emotionale Einbrueche und isoliert sie zur gezielten Weiterverarbeitung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,internal_sensitivity_review,source_review;definition_canon_gate;sensitivity_language_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-005,178,Resonanzresetpunkt,"Bricht aktuelle Resonanzverbindungen bewusst ab, um Raum fuer eine Neujustierung zu schaffen.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-006,179,Verdichtungszone,Verdichtet parallellaufende Denk- oder Emotionslinien zu einem steuerbaren Kernfokus.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-007,180,Zielvektor-Ueberschreibung,Erlaubt das temporaere Ueberschreiben eines bestehenden Ziels zugunsten einer praeziseren Ausrichtung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-008,181,Meta-Rhythmus-Slot,Ermoeglicht rhythmisch korrekte Einbettung von Gedankenmodulen in laufende Prozesse.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-009,182,Ueberspannungsablauf,Leitet innere emotionale oder mentale Ueberspannung kontrolliert ins Neutralfeld ab.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,internal_sensitivity_review,source_review;definition_canon_gate;sensitivity_language_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-010,183,Selbstbild-Neusatz,"Erlaubt bewussten Reset des Selbstbildes als Neusatz, nicht als Loeschung.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-011,184,Innere Buendelungszone,Fasst zerstreute mentale oder emotionale Fragmente in einem Zentrum zusammen.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-012,185,Aussen-Filterresonanz,"Filtert fremde Resonanzfelder, bevor sie ins eigene System eindringen.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-013,186,Energiezuteilungspunkt,Regelt Verteilung verfuegbarer Energie auf innere Subsysteme je nach Prioritaet.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-014,187,Reizantwort-Umcodierer,Ueberschreibt automatische Reizreaktionsmuster durch bewusste Neucodierung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-015,188,Erwartungsumkehr,"Kehrt tief verankerte Erwartungen temporaer um, um neue Perspektiven zuzulassen.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-016,189,Stilleinbruch-Induktor,Erzeugt bewusst eine Luecke im inneren Klangfluss zur gezielten Selbstbeobachtung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-017,190,Denkfeld-Magnetisierung,"Magnetisiert ein gewaehltes Denkfeld, um gezielte Fokussierung zu foerdern.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-018,191,Selbstkontakt-Anker,Verankert den bewussten Selbstkontakt als stabilen Punkt bei emotionaler Ablenkung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-019,192,Denkimpuls-Detektor,"Erkennt fruehzeitig Gedankenimpulse, bevor sie in Handlung ueberspringen.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-020,193,Zielbewusstseins-Booster,Staerkt das bewusste Empfinden eines gewaehlten Ziels unabhaengig vom Umfeld.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-021,194,Mentale Vibrationstransparenz,"Erlaubt Klarheit darueber, welche inneren Vibrationen echt und welche fremdinduziert sind.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-022,195,Inneres Abgleichfenster,Oeffnet temporaer ein Fenster zur Reflexion und Harmonisierung aller internen Prozesse.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-023,196,Stoerfeld-Entkoppler,Trennt bewusst externe Stoerfelder von den eigenen mentalen und emotionalen Linien.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-024,197,Authentizitaetspegel,"Misst die Echtheit einer Handlung, Aussage oder Gedankenlinie im Moment des Entstehens.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-025,198,Verlangsamungsbefehl,"Verlangsamt mentale Prozesse bewusst, um Tiefenwirkung zu ermoeglichen.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-026,199,Systemeinklang-Abgleich,Gleicht koerpereigene und systemische Rhythmen fuer harmonischen Gesamtlauf ab.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-027,200,Impuls-Ziel-Lotung,Misst die Uebereinstimmung zwischen spontanem Impuls und tatsaechlichem Zielpfad.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-028,201,Verdeckungs-Aufloesungsmodul,Hebt mentale oder emotionale Tarnfelder auf und zeigt den wahren Kern.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-029,202,Denkspannung-Pendel,Gleicht Denkspannung durch inneres Pendeln zwischen zwei Extremen aus.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-030,203,Intentions-Spiegel,"Spiegelt unbewusste Absichten zurueck, bevor sie Handlung werden.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-031,204,Echo-Segmentierung,"Zerlegt Echo-Rueckmeldungen in verwertbare, nicht ueberladene Segmente.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,public_after_trigger_review,source_review;definition_canon_gate,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-032,205,Impuls-Stopp-Schleife,"Faengt spontane Reaktionsimpulse ab, bevor sie eskalieren.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,protected_biz_ip_review,source_review;definition_canon_gate;biz_tokenomics_review;ip_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending;CAP-II/Revoke;license_control,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-033,206,Meta-Fokus-Trennung,Trennt ueberlagerte Fokusse sauber und gibt jedem Kontext einen eigenen Raum.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,protected_biz_ip_review,source_review;definition_canon_gate;biz_tokenomics_review;ip_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending;CAP-II/Revoke;license_control,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-034,207,Regenerationsraster,Ermoeglicht systemische Regeneration durch strukturierten Rueckzug.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,protected_biz_ip_review,source_review;definition_canon_gate;biz_tokenomics_review;ip_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending;CAP-II/Revoke;license_control,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-035,208,Inneres Warnsystem,Erkennt feinstoffliche Warnsignale im Vorfeld einer mentalen Uebersteuerung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,protected_biz_ip_review,source_review;definition_canon_gate;biz_tokenomics_review;ip_review;sensitivity_language_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending;CAP-II/Revoke;license_control,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-174210-036,209,Kontrollpunkt-Verschiebung,Verschiebt Kontrollpunkte innerhalb des Systems zur Dezentralisierung.,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,protected_biz_ip_review,source_review;definition_canon_gate;biz_tokenomics_review;ip_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending;CAP-II/Revoke;license_control,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
