Bridge Edge ID,Graph ID,Graph Role,Source Node,Target Node,Guard Condition,Guard Type,Trigger References,VORTEX Signal,Sensitivity,Bridge Meaning,Boundary
VTG-033,session-root-living-trigger-organism,MANIFEST,ROOT,T02,system_healthy,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-034,session-root-living-trigger-organism,MANIFEST,ROOT,T03,mode_requested,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-035,session-root-living-trigger-organism,MANIFEST,ROOT,T04,instance_called,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-036,session-root-living-trigger-organism,MANIFEST,ROOT,T05,event_detected,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-037,session-root-living-trigger-organism,MANIFEST,ROOT,T06,rule_invoked,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-038,session-root-living-trigger-organism,MANIFEST,ROOT,T07,decision_pending,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-039,session-root-living-trigger-organism,MANIFEST,ROOT,T08,memory_accessed,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-040,session-root-living-trigger-organism,MANIFEST,ROOT,T09,output_required,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-041,session-root-living-trigger-organism,MANIFEST,ROOT,T10,symbol_parsed,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-042,session-root-living-trigger-organism,MANIFEST,ROOT,T11,session_ongoing,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-043,session-root-living-trigger-organism,MANIFEST,ROOT,T12,error_detected,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-044,session-root-living-trigger-organism,MANIFEST,ROOT,T13,meta_cycle,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-045,session-root-living-trigger-organism,MANIFEST,ROOT,T14,agent_active,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-046,session-root-living-trigger-organism,MANIFEST,ROOT,T15,delta_observed,explicit_guard,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-047,session-root-living-trigger-organism,MANIFEST,T13,T777,audit_kernel,explicit_guard,777,no,Internal,activation guard,Relation only; not execution permission.
VTG-048,session-root-living-trigger-organism,MANIFEST,T14,T517,autoflow_on,explicit_guard,517,no,Internal,activation guard,Relation only; not execution permission.
VTG-049,session-root-living-trigger-organism,MANIFEST,T15,T544,delta_confirmed,explicit_guard,544,yes,Internal,activation guard,Relation only; not execution permission.
VTG-050,full-sync-terra-nova-mcp-sequence,INTEGRATION,U,UI,/full_sync_terra_nova_lovable_ferrai,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-051,full-sync-terra-nova-mcp-sequence,INTEGRATION,UI,IN,Benutzereingabe,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-052,full-sync-terra-nova-mcp-sequence,INTEGRATION,IN,FSM,Validieren (Policy/Scope/Rate),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-053,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,MCP,Toolcall sync.status(),sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-054,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,SRV,POST /tools/sync.status (via SSE session),sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-055,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,SE,status(workspace/user),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-056,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,DB,read sync_state,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-057,full-sync-terra-nova-mcp-sequence,INTEGRATION,DB,SE,"state (tokens?, cursor?, readOnly?)",sequence_message,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-058,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SRV,status payload,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-059,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,tool result,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-060,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,FSM,status data,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-061,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,OUT,Antwort entwerfe (keine Writes),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-062,full-sync-terra-nova-mcp-sequence,INTEGRATION,OUT,UI,Status anzeige,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-063,full-sync-terra-nova-mcp-sequence,INTEGRATION,UI,U,"""Ready / Needs OAuth / Cursor...""",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-064,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,MCP,Toolcall auth.start(),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-065,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,SRV,auth.start(),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-066,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,AUTH,Redirect URL erstellen,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-067,full-sync-terra-nova-mcp-sequence,INTEGRATION,AUTH,SRV,auth_url + state,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-068,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,auth_url,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-069,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,UI,Link anzeigen,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-070,full-sync-terra-nova-mcp-sequence,INTEGRATION,UI,U,Öffne OAuth Link,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-071,full-sync-terra-nova-mcp-sequence,INTEGRATION,U,AUTH,Consent (Notion Workspace),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-072,full-sync-terra-nova-mcp-sequence,INTEGRATION,AUTH,SRV,"auth.callback(code,state)",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-073,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,SE,exchangeCode(code),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-074,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,AUTH,Token exchange,sequence_message,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-075,full-sync-terra-nova-mcp-sequence,INTEGRATION,AUTH,SE,access_token + refresh_token,sequence_message,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-076,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,DB,store(encrypted tokens + workspace_id),sequence_message,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-077,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,AUD,"log(""OAuth connected"")",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-078,full-sync-terra-nova-mcp-sequence,INTEGRATION,AUD,SE,ok,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-079,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SRV,ok,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-080,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,auth.ok,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-081,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,FSM,auth.ok,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-082,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,MCP,Toolcall sync.bootstrap(readOnly=true),sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-083,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,SRV,sync.bootstrap,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-084,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,SE,bootstrap(readOnly=true),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-085,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,N,List DBs / Query changes (initial),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-086,full-sync-terra-nova-mcp-sequence,INTEGRATION,N,SE,Pages/DB schema + content,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-087,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SE,mapSchema -> Canonical Model + content_hash,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-088,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,DB,upsert canonical records + cursor,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-089,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,AUD,"savepoint(""bootstrap snapshot"")",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-090,full-sync-terra-nova-mcp-sequence,INTEGRATION,AUD,SE,savepoint_id,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-091,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SRV,"bootstrap_done(cursor, savepoint_id)",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-092,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,result,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-093,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,FSM,bootstrap_done,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-094,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,OUT,Summary + next steps,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-095,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,MCP,Toolcall sync.pull(cursor),sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-096,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,SRV,sync.pull,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-097,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,SE,pull(cursor),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-098,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,N,Search changes since cursor,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-099,full-sync-terra-nova-mcp-sequence,INTEGRATION,N,SE,changed objects,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-100,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SE,diff -> patches,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-101,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,DB,apply patches (idempotent),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-102,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,AUD,"log(""pull"", counts, cursor_new)",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-103,full-sync-terra-nova-mcp-sequence,INTEGRATION,AUD,SE,ok,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-104,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SRV,"pull_done(cursor_new, stats)",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-105,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,result,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-106,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,FSM,pull_done,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-107,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,OUT,Update anzeige,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-108,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,MCP,Toolcall sync.plan_push(changeset),sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-109,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,SRV,sync.plan_push,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-110,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,SE,plan_push(changeset),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-111,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SE,validate scopes + policy + conflict check,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-112,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SRV,plan_id + preview + risk_flags,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-113,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,plan result,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-114,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,UI,Plan anzeigen (Preview),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-115,full-sync-terra-nova-mcp-sequence,INTEGRATION,UI,U,"""Bestätige?""",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-116,full-sync-terra-nova-mcp-sequence,INTEGRATION,U,UI,confirm(plan_id),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-117,full-sync-terra-nova-mcp-sequence,INTEGRATION,UI,IN,confirm input,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-118,full-sync-terra-nova-mcp-sequence,INTEGRATION,IN,FSM,ok,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-119,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,MCP,Toolcall sync.commit_push(plan_id),sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-120,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,SRV,sync.commit_push,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-121,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,SE,commit_push(plan_id),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-122,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,N,Write updates (patches),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-123,full-sync-terra-nova-mcp-sequence,INTEGRATION,N,SE,write ok / errors,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-124,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,AUD,"savepoint(""post-write snapshot"")",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-125,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,AUD,"log(""commit"", results)",sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-126,full-sync-terra-nova-mcp-sequence,INTEGRATION,AUD,SE,ok,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-127,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SRV,commit_done,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-128,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,commit_done,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-129,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,FSM,commit_done,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-130,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,OUT,Ergebnis + Konflikte (falls),sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-131,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,MCP,"Toolcall sync.reconcile(strategy=""deterministic"")",sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-132,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,SRV,sync.reconcile,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-133,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,SE,reconcile(strategy),sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-134,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SE,resolve conflicts + record decisions,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-135,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,DB,persist resolutions,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-136,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,AUD,"log(""reconcile"", decisions)",sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-137,full-sync-terra-nova-mcp-sequence,INTEGRATION,SE,SRV,reconcile_done,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-138,full-sync-terra-nova-mcp-sequence,INTEGRATION,SRV,MCP,result,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
VTG-139,full-sync-terra-nova-mcp-sequence,INTEGRATION,MCP,FSM,reconcile_done,sequence_message,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-140,full-sync-terra-nova-mcp-sequence,INTEGRATION,FSM,OUT,Konfliktbericht,sequence_message,,no,Internal,activation guard,Relation only; not execution permission.
