Sample Handle,Review Focus,Trigger Ref,Working Name,Number Hit Count,Name Hit Count,Evidence Class,Public Meaning
xport2-sample-001,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,118,16,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,201,Verdeckungs-Aufloesungsmodul,8,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,202,Denkspannung-Pendel,12,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,203,Intentions-Spiegel,2,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,204,Echo-Segmentierung,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,205,Impuls-Stopp-Schleife,26,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,206,Meta-Fokus-Trennung,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,207,Regenerationsraster,54,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,208,Inneres Warnsystem,0,2,name_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,209,Kontrollpunkt-Verschiebung,10,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,210,Frequenz-Fokus-Einrastung,88,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,174,Impulsumkehrfeld,42,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,175,Kernabsichtsfilter,12,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,176,Synchronisationsfenster,12,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,177,Traumaschnittstelle,2,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,178,Resonanzresetpunkt,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,179,Verdichtungszone,22,16,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,14,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,181,Meta-Rhythmus-Slot,12,8,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,182,Ueberspannungsablauf,20,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,183,Selbstbild-Neusatz,12,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,184,Innere Buendelungszone,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,185,Aussen-Filterresonanz,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,186,Energiezuteilungspunkt,18,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,187,Reizantwort-Umcodierer,2,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,188,Erwartungsumkehr,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,189,Stilleinbruch-Induktor,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,190,Denkfeld-Magnetisierung,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,191,Selbstkontakt-Anker,10,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,192,Denkimpuls-Detektor,10,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,193,Zielbewusstseins-Booster,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,194,Mentale Vibrationstransparenz,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,195,Inneres Abgleichfenster,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,196,Stoerfeld-Entkoppler,26,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,197,Authentizitaetspegel,10,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,198,Verlangsamungsbefehl,10,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,199,Systemeinklang-Abgleich,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,18,6,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,201,Verdeckungs-Aufloesungsmodul,12,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,202,Denkspannung-Pendel,10,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,203,Intentions-Spiegel,10,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,204,Echo-Segmentierung,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,205,Impuls-Stopp-Schleife,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,206,Meta-Fokus-Trennung,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,207,Regenerationsraster,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,208,Inneres Warnsystem,6,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,209,Kontrollpunkt-Verschiebung,8,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-002,tokenomics_trigger_shared,210,Frequenz-Fokus-Einrastung,74,6,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,174,Impulsumkehrfeld,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,175,Kernabsichtsfilter,10,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,176,Synchronisationsfenster,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,177,Traumaschnittstelle,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,178,Resonanzresetpunkt,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,179,Verdichtungszone,12,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,7,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,181,Meta-Rhythmus-Slot,1,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,182,Ueberspannungsablauf,9,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,183,Selbstbild-Neusatz,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,184,Innere Buendelungszone,2,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,185,Aussen-Filterresonanz,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,186,Energiezuteilungspunkt,9,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,190,Denkfeld-Magnetisierung,14,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,191,Selbstkontakt-Anker,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,192,Denkimpuls-Detektor,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,193,Zielbewusstseins-Booster,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,5,9,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,201,Verdeckungs-Aufloesungsmodul,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,202,Denkspannung-Pendel,2,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,203,Intentions-Spiegel,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,204,Echo-Segmentierung,6,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,205,Impuls-Stopp-Schleife,2,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,206,Meta-Fokus-Trennung,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,207,Regenerationsraster,1,19,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-003,tokenomics_trigger_shared,210,Frequenz-Fokus-Einrastung,26,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,174,Impulsumkehrfeld,20,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,175,Kernabsichtsfilter,2,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,10,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,182,Ueberspannungsablauf,12,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,188,Erwartungsumkehr,8,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,191,Selbstkontakt-Anker,6,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,197,Authentizitaetspegel,2,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,205,Impuls-Stopp-Schleife,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,206,Meta-Fokus-Trennung,2,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,207,Regenerationsraster,8,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-004,tokenomics_trigger_shared,210,Frequenz-Fokus-Einrastung,20,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-005,tokenomics_trigger_shared,179,Verdichtungszone,0,4,name_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-005,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,174,Impulsumkehrfeld,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,175,Kernabsichtsfilter,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,176,Synchronisationsfenster,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,177,Traumaschnittstelle,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,178,Resonanzresetpunkt,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,179,Verdichtungszone,8,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,181,Meta-Rhythmus-Slot,4,4,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,182,Ueberspannungsablauf,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,183,Selbstbild-Neusatz,5,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,184,Innere Buendelungszone,5,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,185,Aussen-Filterresonanz,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,186,Energiezuteilungspunkt,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,187,Reizantwort-Umcodierer,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,188,Erwartungsumkehr,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,197,Authentizitaetspegel,2,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,202,Denkspannung-Pendel,69,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,204,Echo-Segmentierung,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,206,Meta-Fokus-Trennung,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,207,Regenerationsraster,0,2,name_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,208,Inneres Warnsystem,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-006,tokenomics_trigger_shared,210,Frequenz-Fokus-Einrastung,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-007,tokenomics_only,200,Impuls-Ziel-Lotung,10,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-008,tokenomics_only,200,Impuls-Ziel-Lotung,8,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-009,tokenomics_only,200,Impuls-Ziel-Lotung,4,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-010,trigger_only,200,Impuls-Ziel-Lotung,1,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-010,trigger_only,207,Regenerationsraster,0,1,name_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-011,trigger_only,207,Regenerationsraster,10,0,number_signal,signal only until raw excerpt context is reviewed privately
