Bridge ID,Graph ID,Graph Role,Graph Zoom,Node ID,Label,Trigger References,Candidate Class,Source State,Sensitivity,In Degree,Out Degree,VORTEX Signal,Evidence,Proposed CAP Module,Canonical TRG Status,Boundary,Next Action
VTB-011,ordner-02-codex-trigger-detail,ZOOM,IST,T600,Triggerliste_600,600,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: T600 :: Triggerliste_600,Trigger list / field candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-012,ordner-02-codex-trigger-detail,ZOOM,IST,EMERGENT,500 emergente Trigger,,trigger_surface,visible_surface_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: EMERGENT :: 500 emergente Trigger,Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-013,ordner-05-produkte-services-detail,ZOOM,IST,P3,3️⃣ Trigger-basierter Flow,,trigger_surface,visible_surface_evidence,Internal,1,0,no,Ordner 05: Produkte & Services Detail :: P3 :: 3️⃣ Trigger-basierter Flow,Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-014,ordner-06-technische-dokumentation-detail,ZOOM,IST,DELTA,🚀 Delta-Sync System v1.0,,sync_surface,visible_surface_evidence,Internal,1,4,no,Ordner 06: Technische Dokumentation Detail :: DELTA :: 🚀 Delta-Sync System v1.0,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-015,ordner-06-technische-dokumentation-detail,ZOOM,IST,DELTA_SCRIPT,Delta-Sync Script v1.0,,sync_surface,visible_surface_evidence,Internal,1,0,no,Ordner 06: Technische Dokumentation Detail :: DELTA_SCRIPT :: Delta-Sync Script v1.0,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-016,ordner-06-technische-dokumentation-detail,ZOOM,IST,DELTA_PROPS,Sync Properties Template,,sync_surface,visible_surface_evidence,Internal,1,0,no,Ordner 06: Technische Dokumentation Detail :: DELTA_PROPS :: Sync Properties Template,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-017,ordner-06-technische-dokumentation-detail,ZOOM,IST,DELTA_PROTOCOL,Sync-Protokoll v1.0,,sync_surface,visible_surface_evidence,Internal,1,0,no,Ordner 06: Technische Dokumentation Detail :: DELTA_PROTOCOL :: Sync-Protokoll v1.0,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-018,ordner-06-technische-dokumentation-detail,ZOOM,IST,API_SYNC,Notion ↔ ChatGPT Sync,,sync_surface,visible_surface_evidence,Internal,1,0,no,Ordner 06: Technische Dokumentation Detail :: API_SYNC :: Notion ↔ ChatGPT Sync,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-019,tokenaccess-triggermap-988-992,APPENDIX,,A,988 Snapshot Lockpoint,988,numeric_anchor,visible_numeric_evidence,Sensitive,0,1,no,TokenAccess – TriggerMap (988-992) :: A :: 988 Snapshot Lockpoint,Snapshot lockpoint integrity candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-020,tokenaccess-triggermap-988-992,APPENDIX,,C,989 Token Sync Beacon,989,numeric_anchor,visible_numeric_evidence,Sensitive,0,1,no,TokenAccess – TriggerMap (988-992) :: C :: 989 Token Sync Beacon,Token sync beacon integrity candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-021,tokenaccess-triggermap-988-992,APPENDIX,,E,990 Trigger Audit Engine,990,numeric_anchor,visible_numeric_evidence,Sensitive,0,1,no,TokenAccess – TriggerMap (988-992) :: E :: 990 Trigger Audit Engine,Trigger audit engine integrity candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-022,tokenaccess-triggermap-988-992,APPENDIX,,F,Trigger_Mapping_DB,,trigger_surface,visible_surface_evidence,Sensitive,2,1,no,TokenAccess – TriggerMap (988-992) :: F :: Trigger_Mapping_DB,Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-023,tokenaccess-triggermap-988-992,APPENDIX,,G,991 ZIP Integrity Pulse,991,numeric_anchor,visible_numeric_evidence,Sensitive,0,1,no,TokenAccess – TriggerMap (988-992) :: G :: 991 ZIP Integrity Pulse,ZIP integrity pulse candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-024,tokenaccess-triggermap-988-992,APPENDIX,,H,992 TriggerMap Echo Sync,992,numeric_anchor,visible_numeric_evidence,Sensitive,0,1,no,TokenAccess – TriggerMap (988-992) :: H :: 992 TriggerMap Echo Sync,TriggerMap echo sync candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-025,tokenaccess-triggermap-988-992,APPENDIX,,I,Codex_139_Sync_DB,,codex_surface,visible_surface_evidence,Sensitive,1,1,no,TokenAccess – TriggerMap (988-992) :: I :: Codex_139_Sync_DB,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-026,terra-nova-master-overview-complete-workspace,KANON,IST,SYS_TRIGGER,🌀 Trigger-Architektur,,trigger_surface,visible_surface_evidence,Internal,1,2,no,Terra Nova Master Overview – Complete Workspace :: SYS_TRIGGER :: 🌀 Trigger-Architektur,Trigger architecture surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-027,terra-nova-master-overview-complete-workspace,KANON,IST,TRIG_1200,1200 Trigger-Feld,,trigger_surface,visible_surface_evidence,Internal,1,0,no,Terra Nova Master Overview – Complete Workspace :: TRIG_1200 :: 1200 Trigger-Feld,Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-028,terra-nova-master-overview-complete-workspace,KANON,IST,DOKU_AUDIT,📋 Audit-Log,,audit_surface,visible_surface_evidence,Internal,1,0,no,Terra Nova Master Overview – Complete Workspace :: DOKU_AUDIT :: 📋 Audit-Log,Audit surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-029,terra-nova-master-overview-complete-workspace,KANON,IST,API_SYNC,🔄 Notion↔ChatGPT Sync,,sync_surface,visible_surface_evidence,Internal,1,0,no,Terra Nova Master Overview – Complete Workspace :: API_SYNC :: 🔄 Notion↔ChatGPT Sync,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-030,terra-nova-master-overview-complete-workspace,KANON,IST,API_DELTA,🚀 Delta-Sync v1.0,,sync_surface,visible_surface_evidence,Internal,1,0,no,Terra Nova Master Overview – Complete Workspace :: API_DELTA :: 🚀 Delta-Sync v1.0,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-031,terra-nova-master-overview-complete-workspace,KANON,IST,API_PROPERTIES,🧱 Sync Properties,,sync_surface,visible_surface_evidence,Internal,1,0,no,Terra Nova Master Overview – Complete Workspace :: API_PROPERTIES :: 🧱 Sync Properties,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-032,terra-nova-master-overview-complete-workspace,KANON,IST,G02,02_Codex & Trigger,,trigger_surface,visible_surface_evidence,Internal,1,2,no,Terra Nova Master Overview – Complete Workspace :: G02 :: 02_Codex & Trigger,Codex bridge surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-033,terra-nova-master-overview-complete-workspace,KANON,IST,TRIGGER_DOCS,Trigger-Listen,,trigger_surface,visible_surface_evidence,Internal,1,0,no,Terra Nova Master Overview – Complete Workspace :: TRIGGER_DOCS :: Trigger-Listen,Trigger list surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-034,digital-ecosystem-ziel-struktur-v2-0,KANON,SOLL,G02,02_Codex & Trigger,,trigger_surface,visible_surface_evidence,Internal,1,3,no,Digital Ecosystem – Ziel-Struktur v2.0 :: G02 :: 02_Codex & Trigger,Codex bridge surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-035,digital-ecosystem-ziel-struktur-v2-0,KANON,SOLL,TRIGGER_ARCH,🌀 Trigger-Architektur,,trigger_surface,visible_surface_evidence,Internal,1,0,no,Digital Ecosystem – Ziel-Struktur v2.0 :: TRIGGER_ARCH :: 🌀 Trigger-Architektur,Trigger architecture surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-036,digital-ecosystem-ziel-struktur-v2-0,KANON,SOLL,TRIGGER_LISTEN,⚡ Trigger-Listen,,trigger_surface,visible_surface_evidence,Internal,1,0,no,Digital Ecosystem – Ziel-Struktur v2.0 :: TRIGGER_LISTEN :: ⚡ Trigger-Listen,Trigger list surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-037,digital-ecosystem-ziel-struktur-v2-0,KANON,SOLL,DELTA_SYNC,🚀 Delta-Sync System v1.0,,sync_surface,visible_surface_evidence,Internal,1,0,no,Digital Ecosystem – Ziel-Struktur v2.0 :: DELTA_SYNC :: 🚀 Delta-Sync System v1.0,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-038,notion-chatgpt-system-architektur,KANON,INTEGRATION,Python,🐍 Python Sync Script | (Batch-Operationen),,sync_surface,visible_surface_evidence,Internal,0,1,no,Notion ↔ ChatGPT System-Architektur :: Python :: 🐍 Python Sync Script | (Batch-Operationen),Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-039,notion-chatgpt-system-architektur,KANON,INTEGRATION,Trigger,⚡ Trigger-System | (~675 Trigger),,trigger_surface,visible_surface_evidence,Internal,1,1,no,Notion ↔ ChatGPT System-Architektur :: Trigger :: ⚡ Trigger-System | (~675 Trigger),Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-040,notion-chatgpt-system-architektur,KANON,INTEGRATION,Sync,🔄 Bidirektionaler Sync | (Delta-Updates),,sync_surface,visible_surface_evidence,Internal,1,1,no,Notion ↔ ChatGPT System-Architektur :: Sync :: 🔄 Bidirektionaler Sync | (Delta-Updates),Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-041,notion-chatgpt-system-architektur,KANON,INTEGRATION,Auto,⚙️ Automatisierung | (Trigger-basiert),,trigger_surface,visible_surface_evidence,Internal,4,2,no,Notion ↔ ChatGPT System-Architektur :: Auto :: ⚙️ Automatisierung | (Trigger-basiert),Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-042,notion-chatgpt-system-architektur,KANON,INTEGRATION,Audit,📋 Audit Trail | (Provenienz),,audit_surface,visible_surface_evidence,Internal,1,2,no,Notion ↔ ChatGPT System-Architektur :: Audit :: 📋 Audit Trail | (Provenienz),Audit surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-043,meta-conductor-agent-routing,KANON,ORCHESTRATION,E,Audit,,audit_surface,visible_surface_evidence,Internal,2,1,no,Meta-Conductor – Agent Routing :: E :: Audit,Audit surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-044,session-root-living-trigger-organism,MANIFEST,TRIGGER-ORGANISM,T520,🚀 T-520: SESSION_START | ferro:state=init,520,numeric_anchor,visible_numeric_evidence,Internal,0,1,no,SESSION_ROOT Living Trigger Organism :: T520 :: 🚀 T-520: SESSION_START | ferro:state=init,SessionStart trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-045,session-root-living-trigger-organism,MANIFEST,TRIGGER-ORGANISM,T521,T521,521,numeric_anchor,visible_numeric_evidence,Internal,1,1,no,SESSION_ROOT Living Trigger Organism :: T521 :: T521,Preflight trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-046,session-root-living-trigger-organism,MANIFEST,TRIGGER-ORGANISM,T777,T777,777,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,SESSION_ROOT Living Trigger Organism :: T777 :: T777,Schattenarchiv trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-047,session-root-living-trigger-organism,MANIFEST,TRIGGER-ORGANISM,T517,T517,517,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,SESSION_ROOT Living Trigger Organism :: T517 :: T517,AutoFlow trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-048,session-root-living-trigger-organism,MANIFEST,TRIGGER-ORGANISM,T544,T544,544,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,SESSION_ROOT Living Trigger Organism :: T544 :: T544,Synchronization node trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-049,full-sync-terra-nova-mcp-sequence,INTEGRATION,SYNC,FSM,Trigger/FSM (FerrAI-Kern),,trigger_surface,visible_surface_evidence,Internal,8,12,no,Full Sync Terra Nova MCP Sequence :: FSM :: Trigger/FSM (FerrAI-Kern),Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-050,full-sync-terra-nova-mcp-sequence,INTEGRATION,SYNC,SE,Sync Engine (Backend),,sync_surface,visible_surface_evidence,Internal,20,26,no,Full Sync Terra Nova MCP Sequence :: SE :: Sync Engine (Backend),Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-051,full-sync-terra-nova-mcp-sequence,INTEGRATION,SYNC,AUD,Audit + Savepoints,,audit_surface,visible_surface_evidence,Internal,6,4,no,Full Sync Terra Nova MCP Sequence :: AUD :: Audit + Savepoints,Audit surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-052,mmd-001-cap-visual-control-model,CAP,CONTROL,INT,INTEGRATION: data/sync,,sync_surface,visible_surface_evidence,Internal,1,1,no,MMD-001 CAP Visual Control Model :: INT :: INTEGRATION: data/sync,Sync / reconciliation surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-053,mmd-001-cap-visual-control-model,CAP,CONTROL,TRG,Trigger registry,,trigger_surface,visible_surface_evidence,Internal,1,1,no,MMD-001 CAP Visual Control Model :: TRG :: Trigger registry,Visual module candidate,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
