Sample Handle,Review Focus,Signal Group,Signal Count,Public Meaning
xport2-sample-001,tokenomics_trigger_shared,cap_ii_tokenomics,982,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,cap_ii_tokenomics,8,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,control_tower,64,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,mermaid_graph,0,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,metarotik,2,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,notion_workspace,18,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,source_governance,72,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,tnpx_patent_ip,2,count-only signal; not raw evidence
xport2-sample-005,tokenomics_trigger_shared,trigger_core,22,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,cap_ii_tokenomics,5,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,control_tower,62,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,mermaid_graph,0,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,metarotik,0,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,notion_workspace,54,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,source_governance,74,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,tnpx_patent_ip,6,count-only signal; not raw evidence
xport2-sample-006,tokenomics_trigger_shared,trigger_core,123,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,cap_ii_tokenomics,0,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,control_tower,14,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,mermaid_graph,10,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,metarotik,16,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,notion_workspace,4,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,source_governance,10,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,tnpx_patent_ip,0,count-only signal; not raw evidence
xport2-sample-007,tokenomics_only,trigger_core,0,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,cap_ii_tokenomics,2,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,control_tower,0,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,mermaid_graph,0,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,metarotik,0,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,notion_workspace,30,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,source_governance,228,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,tnpx_patent_ip,0,count-only signal; not raw evidence
xport2-sample-008,tokenomics_only,trigger_core,0,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,cap_ii_tokenomics,0,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,control_tower,6,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,mermaid_graph,4,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,metarotik,6,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,notion_workspace,2,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,source_governance,4,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,tnpx_patent_ip,0,count-only signal; not raw evidence
xport2-sample-009,tokenomics_only,trigger_core,0,count-only signal; not raw evidence
xport2-sample-010,trigger_only,cap_ii_tokenomics,0,count-only signal; not raw evidence
xport2-sample-010,trigger_only,control_tower,1,count-only signal; not raw evidence
xport2-sample-010,trigger_only,mermaid_graph,0,count-only signal; not raw evidence
xport2-sample-010,trigger_only,metarotik,0,count-only signal; not raw evidence
xport2-sample-010,trigger_only,notion_workspace,9,count-only signal; not raw evidence
xport2-sample-010,trigger_only,source_governance,0,count-only signal; not raw evidence
xport2-sample-010,trigger_only,tnpx_patent_ip,0,count-only signal; not raw evidence
xport2-sample-010,trigger_only,trigger_core,6,count-only signal; not raw evidence
xport2-sample-011,trigger_only,cap_ii_tokenomics,0,count-only signal; not raw evidence
xport2-sample-011,trigger_only,control_tower,0,count-only signal; not raw evidence
xport2-sample-011,trigger_only,mermaid_graph,2,count-only signal; not raw evidence
xport2-sample-011,trigger_only,metarotik,0,count-only signal; not raw evidence
xport2-sample-011,trigger_only,notion_workspace,24,count-only signal; not raw evidence
xport2-sample-011,trigger_only,source_governance,104,count-only signal; not raw evidence
xport2-sample-011,trigger_only,tnpx_patent_ip,0,count-only signal; not raw evidence
xport2-sample-011,trigger_only,trigger_core,6,count-only signal; not raw evidence
xport2-sample-012,trigger_only,cap_ii_tokenomics,0,count-only signal; not raw evidence
xport2-sample-012,trigger_only,control_tower,0,count-only signal; not raw evidence
xport2-sample-012,trigger_only,mermaid_graph,0,count-only signal; not raw evidence
xport2-sample-012,trigger_only,metarotik,0,count-only signal; not raw evidence
xport2-sample-012,trigger_only,notion_workspace,2,count-only signal; not raw evidence
xport2-sample-012,trigger_only,source_governance,4,count-only signal; not raw evidence
xport2-sample-012,trigger_only,tnpx_patent_ip,0,count-only signal; not raw evidence
xport2-sample-012,trigger_only,trigger_core,0,count-only signal; not raw evidence
