Trigger Ref,Working Name,Best Sample Handle,Best Review Focus,Best Decision,Best Confidence,Name Hits,Number Hits,Definition Term Overlap,Source Anchor Count,CAPII Anchor Count,Allowed Use Now,Blocked Use Now,Next Action
184,Innere Buendelungszone,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,16,1,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
185,Aussen-Filterresonanz,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,28,1,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
186,Energiezuteilungspunkt,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,34,2,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
187,Reizantwort-Umcodierer,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,0,0,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
188,Erwartungsumkehr,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,24,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
189,Stilleinbruch-Induktor,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,6,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
190,Denkfeld-Magnetisierung,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,4,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
191,Selbstkontakt-Anker,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,2,2,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
192,Denkimpuls-Detektor,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,2,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
193,Zielbewusstseins-Booster,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,4,0,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
194,Mentale Vibrationstransparenz,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,8,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
195,Inneres Abgleichfenster,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,4,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
196,Stoerfeld-Entkoppler,xport2-sample-001,tokenomics_trigger_shared,numeric_context_only,low_numeric_signal,0,12,0,0,0,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
197,Authentizitaetspegel,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,18,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
198,Verlangsamungsbefehl,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,12,2,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
199,Systemeinklang-Abgleich,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,38,0,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
200,Impuls-Ziel-Lotung,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,16,118,2,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
201,Verdeckungs-Aufloesungsmodul,xport2-sample-001,tokenomics_trigger_shared,numeric_context_only,low_numeric_signal,0,8,0,0,0,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
202,Denkspannung-Pendel,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_definition_candidate,high_context_candidate,2,12,3,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Promote to private source-review shortlist; still no raw excerpt publication.
203,Intentions-Spiegel,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,2,2,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
204,Echo-Segmentierung,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,6,0,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
205,Impuls-Stopp-Schleife,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,26,0,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
206,Meta-Fokus-Trennung,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,8,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
207,Regenerationsraster,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,54,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
208,Inneres Warnsystem,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,0,0,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
209,Kontrollpunkt-Verschiebung,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,4,10,1,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
210,Frequenz-Fokus-Einrastung,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,88,0,3,4,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
