Hash Group,Representative File Handle,Source Handles,SHA-256,File Copies,Bytes,Message Markers,Axis Count,Axes,Publication Lane,Review Gates,File Handles
xport2-hashgrp-011,xport-src-001-file-0013,xport-src-001,983cb805b7525175250fc4acd67e308701714bd47ed08c1e3491280313e89ceb,1,5799,0,4,chatgpt_export;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;evidence_apparatus_review;notion_correlation_review,xport-src-001-file-0013
xport2-hashgrp-012,xport-src-001-file-0014,xport-src-001,2c42eec981a1fe7d69bc1b00ded5573c41953f9e6596339cf469bec136ac6b2f,1,90077,48,8,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0014
xport2-hashgrp-013,xport-src-001-file-0015,xport-src-001,afa24c59b4b64f742e5ed8d0740bdf38dec36b0a218af48a8c6a613fa28b4348,1,46300,18,7,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo;trigger,public_after_ip_review,ip_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0015
xport2-hashgrp-014,xport-src-001-file-0016,xport-src-001,ca9df7cb7f82e3b92acc22a2dd30d21027f565f6a805a6617cf4b265a7517080,2,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0002;xport-src-001-file-0016
xport2-hashgrp-015,xport-src-001-file-0017,xport-src-001,5b745016e515778d6f1a9fdf866c9be84a8f87d70bee0720e3c01b4a27e91a81,2,147782,6,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0003;xport-src-001-file-0017
xport2-hashgrp-016,xport-src-001-file-0018,xport-src-001,9fd680ddab4a88bd7c4d1e774837489cd4284cea5fb6b45583781eddbb73805a,1,31270,16,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0018
xport2-hashgrp-017,xport-src-001-file-0019,xport-src-001,9ed9274c9876ef58fe43c76002bd9d44ee61df041dc3da3fb9e3e6f99a021254,1,21327,16,5,chatgpt_export;control_tower;mermaid;notion_workspace;prism_zenodo,diagram_correlation_candidate,mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0019
xport2-hashgrp-018,xport-src-001-file-0020,xport-src-001,36e4c7808805e8a6c68537a8c7293a5807f4e60a0e093d01f46063f2e5a345e6,1,20272,6,8,chatgpt_export;control_tower;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0020
xport2-hashgrp-019,xport-src-001-file-0021,xport-src-001,d235cc6c010883ef5f51d30b858b958c76cc3c19039b6f6b814773935afce13a,1,11905,0,5,chatgpt_export;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review,xport-src-001-file-0021
xport2-hashgrp-020,xport-src-001-file-0022,xport-src-001,b356ad302867e9516f960450c8437351b9ceb6e301b50681a4cbdf4fc919e69a,1,1375,0,4,chatgpt_export;mermaid;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review,xport-src-001-file-0022
xport2-hashgrp-021,xport-src-001-file-0023,xport-src-001,0fcde345a7839f9651ee91aef1732f3ba7177d9a82d88db9c9c84e73aaa5ed53,1,15993,0,4,chatgpt_export;github_sync;prism_zenodo;trigger,trigger_correlation_candidate,trigger_source_review;evidence_apparatus_review;sync_trace_review,xport-src-001-file-0023
xport2-hashgrp-022,xport-src-001-file-0024,xport-src-001,b6f04528c9478c06805a024482e8c2f6b2c9e03692654e25d2ed12c7e7d869b6,1,4090,0,4,chatgpt_export;mermaid;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review,xport-src-001-file-0024
xport2-hashgrp-023,xport-src-001-file-0025,xport-src-001,9c892e5424e60b1752cd7d48bc67d0cd9c98fbf7f1e549752b1c6f64c09be5a5,1,2582,0,3,chatgpt_export;mermaid;prism_zenodo,diagram_correlation_candidate,mermaid_graph_review;evidence_apparatus_review,xport-src-001-file-0025
xport2-hashgrp-024,xport-src-001-file-0026,xport-src-001,f601f9abc83d77e561df88de659263c050c390244fa98aa0e6d56cff887488bc,1,12725,0,6,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0026
xport2-hashgrp-025,xport-src-001-file-0027,xport-src-001,3a683077047d28d7f953fd24b0987c69c063bd78ae2e99766e1fefbcedee7cfc,1,1629,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0027
xport2-hashgrp-026,xport-src-001-file-0028,xport-src-001,4156024d7500b75fe828de028d4f94276b76fe28274eda3d832afeb2736d1ce2,1,20693,0,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0028
xport2-hashgrp-027,xport-src-001-file-0029,xport-src-001,47d6c224eebc707bd17330d4792767b826b44cac516dbeb32d37a977d35bbff9,1,6516,0,7,chatgpt_export;control_tower;github_sync;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;evidence_apparatus_review;sync_trace_review;control_tower_review,xport-src-001-file-0029
xport2-hashgrp-028,xport-src-001-file-0030,xport-src-001,e3f71e3e7e4d334bc58dc3e7bd5444eb6f4bec5beb27e448f4c95c4738998fb1,1,16233,1,8,chatgpt_export;control_tower;github_sync;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0030
xport2-hashgrp-029,xport-src-001-file-0031,xport-src-001,4aee09186c126cfa1f4d0bdd9a145f120ebe020bccafdf45db213b447c272f3c,1,1073,0,2,chatgpt_export;prism_zenodo,evidence_apparatus_candidate,evidence_apparatus_review,xport-src-001-file-0031
xport2-hashgrp-030,xport-src-001-file-0032,xport-src-001,66ddec5ee7b72994e28fc257a6c8b000cc08f61e2c3000f306b4ee70fb280856,1,5945,0,5,chatgpt_export;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review,xport-src-001-file-0032
xport2-hashgrp-031,xport-src-001-file-0039,xport-src-001,7c149367d5d4cce38ae1fa0a55ec88d00f5d7f6c67753ab18ea4a9bb6f57eeb8,1,2699,0,3,chatgpt_export;patent_ip;prism_zenodo,public_after_ip_review,ip_review;evidence_apparatus_review,xport-src-001-file-0039
xport2-hashgrp-032,xport-src-001-file-0040,xport-src-001,3c06ff37a2bf1dc50f5130d0cbfd0b0a13a38f1690388879d0330e9ee64c0e52,1,20916,16,5,chatgpt_export;control_tower;mermaid;notion_workspace;prism_zenodo,diagram_correlation_candidate,mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0040
xport2-hashgrp-033,xport-src-001-file-0050,xport-src-001,68a9265c7e7c19be0ad3359b1ee9e09381a7d9569564bb66d41030440e254fe0,1,6118,2,5,chatgpt_export;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review,xport-src-001-file-0050
xport2-hashgrp-034,xport-src-001-file-0051,xport-src-001,304d690477ad5dfb72c4b0a1e6c51ade8fd726d07e126109120daaa408ae9465,1,156201,6,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0051
xport2-hashgrp-035,xport-src-001-file-0052,xport-src-001,c8864c160cf8467a836ac4e265fafdd067cc60a8683beb067411bda0fd5a6af2,1,25396,0,8,chatgpt_export;control_tower;github_sync;mermaid;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;control_tower_review,xport-src-001-file-0052
xport2-hashgrp-036,xport-src-001-file-0053,xport-src-001,e8d5483928bb2555082caf36dd227e56c57f1f606ba16ba870040b0ff694458b,1,19207,0,8,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;trigger,public_after_ip_review,ip_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0053
xport2-hashgrp-037,xport-src-001-file-0054,xport-src-001,dc4c24bf6ff9c852dbc6f96cbcc06f2a7cac2060ee0a452a845b5fa4ee1e87e3,1,725901,90,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0054
xport2-hashgrp-038,xport-src-001-file-0055,xport-src-001,fc41cc5a538247217fd04f0739a92ee0b58691c0a59f2d42d330a3d2984e04f3,1,55391,0,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0055
xport2-hashgrp-039,xport-src-001-file-0056,xport-src-001,d0e3d38059eb9c8b66c2991d5a0bdb21b07b3276e1d090a86e33840ed987d922,1,362013,8,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0056
xport2-hashgrp-040,xport-src-001-file-0057,xport-src-001,c0c6cb0eb9de603d08e573f67d197fbb446f924552e047e8b042928f1d9e1a22,1,612597,24,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0057
xport2-hashgrp-041,xport-src-001-file-0058,xport-src-001,89aba23013819c67eee672b44254551b0f083a56eb3707e4f1263f0d98b5f4b9,1,272511,9,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0058
xport2-hashgrp-042,xport-src-001-file-0059,xport-src-001,1a4b625aca3fd4329b112eb398ef8b2d577ab8138d7445551396e2d867f7b80d,1,80466,3,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0059
xport2-hashgrp-043,xport-src-001-file-0060,xport-src-001,3be03f0cbf288bbe5e1121554bbfefdd4ad59563d39f3be54b47cafb49f20d51,1,563304,7,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0060
xport2-hashgrp-044,xport-src-001-file-0061,xport-src-001,e25767f19e15234a73bb9c96fa7eeb6ad5aeb843cdb125b1aa6846d0498eb511,1,25788,1,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0061
xport2-hashgrp-045,xport-src-001-file-0062,xport-src-001,cbdc2961c90b467f08dd0d2be0330996ba4b2a0d4453d34f1dcd6144349c84ad,1,13514,1,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0062
xport2-hashgrp-046,xport-src-001-file-0063,xport-src-001,24e1c57bc4e034a4f9b39d4b36f43e07ab3f95d3f839487d93a75548aed8a017,1,38343,1,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0063
xport2-hashgrp-047,xport-src-001-file-0064,xport-src-001,6d52e3fc446e14a9ef775104ef0108b4d7f1784bc06b35e5342f6db6360f245a,1,1193,0,4,chatgpt_export;control_tower;prism_zenodo;tokenomics,public_after_biz_review,biz_tokenomics_review;evidence_apparatus_review;control_tower_review,xport-src-001-file-0064
xport2-hashgrp-048,xport-src-001-file-0065,xport-src-001,46998816ba2816fa3cd64f0169dba2e37cec18e57871a066820ec727da65414a,1,2111,0,3,chatgpt_export;control_tower;prism_zenodo,evidence_apparatus_candidate,evidence_apparatus_review;control_tower_review,xport-src-001-file-0065
xport2-hashgrp-049,xport-src-001-file-0066,xport-src-001,10ba91c5e44eb586919348ab67aaf33f2a854a44e00b6e3a676b2470a903903a,1,38881,1,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0066
xport2-hashgrp-050,xport-src-001-file-0067,xport-src-001,0134b29dcf7c50c55954118dc4975f482abadec1e7a46315c1183242869f5184,1,28624,1,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0067
xport2-hashgrp-051,xport-src-001-file-0068,xport-src-001,d92bd9224c0d67a739df6c3d4b62899f166d108c1dd00aaa6a1d964712a2db18,1,13511,4,8,chatgpt_export;control_tower;github_sync;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0068
xport2-hashgrp-052,xport-src-001-file-0069,xport-src-001,a4dc8f0c4d809e991680aefb83ce3e65f681e5586c875ac24a30e44d1c89aa15,1,60020,14,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0069
xport2-hashgrp-053,xport-src-001-file-0070,xport-src-001,56dd2522895b9e6f669cbd862ee2966b524581fa68f1f3ca40e4c8f8cdd5835e,1,400526,1,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0070
xport2-hashgrp-054,xport-src-001-file-0071,xport-src-001,44f17657a4985fb0151d319c72d9be5fd5c67628e07868f259ef0c37e44193e5,1,31849,1,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0071
xport2-hashgrp-055,xport-src-001-file-0072,xport-src-001,dee729dd3985d10329ff868570bb5be20f201c6f8e5253bf965570afbf131884,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0072
xport2-hashgrp-056,xport-src-001-file-0073,xport-src-001,eecb5bafdba74c6bb0c19d92cc321b692a23c622beaa95229f3e451a90ecc567,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0073
xport2-hashgrp-057,xport-src-001-file-0074,xport-src-001,075c122dcb77f3581180c9dcf4795b2e7ba76b735868ae4ad14080a9083b99bb,1,74289,18,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0074
xport2-hashgrp-058,xport-src-001-file-0075,xport-src-001,4669ebd2542d35ade10f075fc3df0c69dd23484d09f2a2741cfda53bf103bd2e,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0075
xport2-hashgrp-059,xport-src-001-file-0076,xport-src-001,3659b392d60761b81a44fa1d10b55d6360fc7ca2e663edacc5ba464c18b75042,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0076
xport2-hashgrp-060,xport-src-001-file-0077,xport-src-001,ada346feffafdf7624c59fdce52f9b32077ca4dc1ea194985e8948c5459a6bc0,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0077
xport2-hashgrp-061,xport-src-001-file-0078,xport-src-001,0bb88e03c2bc2f401c7f3d03368fd3550dcbea0f84e0bf2c478e66f534475610,1,124438,16,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0078
xport2-hashgrp-062,xport-src-001-file-0079,xport-src-001,e61952666c8e5bf6145ed01093ec64b457b4b18c9a62bd2cdeb51a08ece3b63b,1,4026458,976,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0079
xport2-hashgrp-063,xport-src-001-file-0080,xport-src-001,cf8865f6200e00e31b22e3c3b6f0dc7c8a92dde22d153d04de51b494f3b72c5d,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0080
xport2-hashgrp-064,xport-src-001-file-0081,xport-src-001,fca59a63d391c6e75097bf284922c06ddf9928ef114b3dc607b684a3d9c3140d,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0081
xport2-hashgrp-065,xport-src-001-file-0082,xport-src-001,eb32e5dff9937462c007d20f6b55cd4b60483c5cd789ae1111d9959183a8a8d7,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0082
xport2-hashgrp-066,xport-src-001-file-0083,xport-src-001,7c3302a8ab4be3be033b715f3f373ebe836e318704790b29e5a7ff066cd14eb9,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0083
xport2-hashgrp-067,xport-src-001-file-0084,xport-src-001,5b6208f574fdd2aae3cfb1f4b7011c9485349611eb32147bb10ad88ba002c82a,1,21957,16,6,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0084
xport2-hashgrp-068,xport-src-001-file-0085,xport-src-001,e906d4323c957a58570d70089a6675e08567f773f85dcc99d253af3d202529bb,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0085
xport2-hashgrp-069,xport-src-001-file-0086,xport-src-001,4dbe715c7e3964ccd29dbbf4d47cef167d6e23ffb5710f0e860f0ee092514cb6,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0086
xport2-hashgrp-070,xport-src-001-file-0087,xport-src-001,de0accd6d0f16d48422d5f1901fd2d6ac323c1ef80eab1d50c500299e12f891d,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0087
xport2-hashgrp-071,xport-src-001-file-0088,xport-src-001,0e7e19d474e8445fcce193a4b4fffa8a5b44b857c6f22d096b955a018974ac6c,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0088
xport2-hashgrp-072,xport-src-001-file-0089,xport-src-001,d3b7b0b5576d76c503eb579ae71a8b27dadc753c7a6db1910dccd348da3415f3,1,97462,2,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0089
xport2-hashgrp-073,xport-src-001-file-0090,xport-src-001,a035be87475187e1cb1be34b0fafa73ffa99190e38e1ad78fb2ff478b939f6df,1,21889,16,6,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0090
xport2-hashgrp-074,xport-src-001-file-0091,xport-src-001,3dd120685565e42ab27bbc7f4930bdff31d26570273bd2b2f790647c4ad80a69,1,1870740,310,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0091
xport2-hashgrp-075,xport-src-001-file-0092,xport-src-001,ebc51ba5b0bbc286b8b1def3441d80ddffd8e7429c08745b1e01abc074aa3e15,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0092
