Trigger Ref,Working Name,SOURCE-174-210 Current Decision,XPORT Excerpt Gate Decision,XPORT Excerpt Confidence,Best Sample Handle,Best Review Focus,Definition Term Overlap,Source Anchor Count,CAPII Anchor Count,Routing Decision,Allowed Use Now,Blocked Use Now,Next Action
185,Aussen-Filterresonanz,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
186,Energiezuteilungspunkt,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,2,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
187,Reizantwort-Umcodierer,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
188,Erwartungsumkehr,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
189,Stilleinbruch-Induktor,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
190,Denkfeld-Magnetisierung,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
191,Selbstkontakt-Anker,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,2,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
192,Denkimpuls-Detektor,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
193,Zielbewusstseins-Booster,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
194,Mentale Vibrationstransparenz,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
195,Inneres Abgleichfenster,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
196,Stoerfeld-Entkoppler,hold_at_l2_source_backed_reference_pending_xport_raw_review,numeric_context_only,low_numeric_signal,xport2-sample-001,tokenomics_trigger_shared,0,0,0,do_not_promote_from_xport,Use as numeric correlation only; no XPORT source promotion.,"No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Keep Codex139+ as source; reject or confirm numeric context privately.
197,Authentizitaetspegel,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
198,Verlangsamungsbefehl,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,2,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
199,Systemeinklang-Abgleich,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
200,Impuls-Ziel-Lotung,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,2,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
201,Verdeckungs-Aufloesungsmodul,hold_at_l2_source_backed_reference_pending_xport_raw_review,numeric_context_only,low_numeric_signal,xport2-sample-001,tokenomics_trigger_shared,0,0,0,do_not_promote_from_xport,Use as numeric correlation only; no XPORT source promotion.,"No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Keep Codex139+ as source; reject or confirm numeric context privately.
202,Denkspannung-Pendel,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_definition_candidate,high_context_candidate,xport2-sample-001,tokenomics_trigger_shared,3,3,4,shortlist_for_private_source_confirmation,May route into SOURCE-174-210 as XPORT-supported private confirmation candidate.,"No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private human excerpt confirmation; do not publish raw excerpt.
203,Intentions-Spiegel,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,2,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
204,Echo-Segmentierung,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
205,Impuls-Stopp-Schleife,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim. CAP-II/tokenomics/IP and TNPX-01 review remains mandatory.
206,Meta-Fokus-Trennung,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim. CAP-II/tokenomics/IP and TNPX-01 review remains mandatory.
207,Regenerationsraster,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim. CAP-II/tokenomics/IP and TNPX-01 review remains mandatory.
208,Inneres Warnsystem,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim. CAP-II/tokenomics/IP and TNPX-01 review remains mandatory.
209,Kontrollpunkt-Verschiebung,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim. CAP-II/tokenomics/IP and TNPX-01 review remains mandatory.
210,Frequenz-Fokus-Einrastung,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,4,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim. CAP-II/tokenomics/IP and TNPX-01 review remains mandatory.
