Review ID,Bridge ID,Graph ID,Node ID,Label,Trigger References,Candidate Class,Sensitivity,Lane,Gate Decision,Gate Status,Reason,Canonical TRG Status,Boundary
MMD4-C022,VTB-022,tokenaccess-triggermap-988-992,F,Trigger_Mapping_DB,,trigger_surface,Sensitive,SENS-HELD,hold_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C023,VTB-023,tokenaccess-triggermap-988-992,G,991 ZIP Integrity Pulse,991,numeric_anchor,Sensitive,SENS-HELD,hold_restricted_or_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C024,VTB-024,tokenaccess-triggermap-988-992,H,992 TriggerMap Echo Sync,992,numeric_anchor,Sensitive,SENS-HELD,hold_restricted_or_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C025,VTB-025,tokenaccess-triggermap-988-992,I,Codex_139_Sync_DB,,codex_surface,Sensitive,SENS-HELD,hold_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C026,VTB-026,terra-nova-master-overview-complete-workspace,SYS_TRIGGER,🌀 Trigger-Architektur,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C027,VTB-027,terra-nova-master-overview-complete-workspace,TRIG_1200,1200 Trigger-Feld,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C028,VTB-028,terra-nova-master-overview-complete-workspace,DOKU_AUDIT,📋 Audit-Log,,audit_surface,Internal,CONTROL-SURFACE,promote_audit_surface,candidate,"Useful for CAP audit routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C029,VTB-029,terra-nova-master-overview-complete-workspace,API_SYNC,🔄 Notion↔ChatGPT Sync,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C030,VTB-030,terra-nova-master-overview-complete-workspace,API_DELTA,🚀 Delta-Sync v1.0,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C031,VTB-031,terra-nova-master-overview-complete-workspace,API_PROPERTIES,🧱 Sync Properties,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C032,VTB-032,terra-nova-master-overview-complete-workspace,G02,02_Codex & Trigger,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C033,VTB-033,terra-nova-master-overview-complete-workspace,TRIGGER_DOCS,Trigger-Listen,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C034,VTB-034,digital-ecosystem-ziel-struktur-v2-0,G02,02_Codex & Trigger,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C035,VTB-035,digital-ecosystem-ziel-struktur-v2-0,TRIGGER_ARCH,🌀 Trigger-Architektur,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C036,VTB-036,digital-ecosystem-ziel-struktur-v2-0,TRIGGER_LISTEN,⚡ Trigger-Listen,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C037,VTB-037,digital-ecosystem-ziel-struktur-v2-0,DELTA_SYNC,🚀 Delta-Sync System v1.0,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C038,VTB-038,notion-chatgpt-system-architektur,Python,🐍 Python Sync Script | (Batch-Operationen),,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C039,VTB-039,notion-chatgpt-system-architektur,Trigger,⚡ Trigger-System | (~675 Trigger),,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C040,VTB-040,notion-chatgpt-system-architektur,Sync,🔄 Bidirektionaler Sync | (Delta-Updates),,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C041,VTB-041,notion-chatgpt-system-architektur,Auto,⚙️ Automatisierung | (Trigger-basiert),,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C042,VTB-042,notion-chatgpt-system-architektur,Audit,📋 Audit Trail | (Provenienz),,audit_surface,Internal,CONTROL-SURFACE,promote_audit_surface,candidate,"Useful for CAP audit routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C043,VTB-043,meta-conductor-agent-routing,E,Audit,,audit_surface,Internal,CONTROL-SURFACE,promote_audit_surface,candidate,"Useful for CAP audit routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C044,VTB-044,session-root-living-trigger-organism,T520,🚀 T-520: SESSION_START | ferro:state=init,520,numeric_anchor,Internal,CAP-MODULE-CANDIDATE,promote_module_candidate,candidate,Safe internal anchor candidate,not assigned,Visual evidence only; canon remains separate.
MMD4-C045,VTB-045,session-root-living-trigger-organism,T521,T521,521,numeric_anchor,Internal,CAP-MODULE-CANDIDATE,promote_module_candidate,candidate,Safe internal anchor candidate,not assigned,Visual evidence only; canon remains separate.
MMD4-C046,VTB-046,session-root-living-trigger-organism,T777,T777,777,numeric_anchor,Internal,SENS-HELD,hold_restricted_or_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C047,VTB-047,session-root-living-trigger-organism,T517,T517,517,numeric_anchor,Internal,CAUTION-AUTOFLOW,observer_required,defer,AutoFlow is not normalized as routine work,not assigned,Visual evidence only; canon remains separate.
MMD4-C048,VTB-048,session-root-living-trigger-organism,T544,T544,544,numeric_anchor,Internal,CAP-MODULE-CANDIDATE,promote_module_candidate,candidate,Safe internal anchor candidate,not assigned,Visual evidence only; canon remains separate.
MMD4-C049,VTB-049,full-sync-terra-nova-mcp-sequence,FSM,Trigger/FSM (FerrAI-Kern),,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C050,VTB-050,full-sync-terra-nova-mcp-sequence,SE,Sync Engine (Backend),,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C051,VTB-051,full-sync-terra-nova-mcp-sequence,AUD,Audit + Savepoints,,audit_surface,Internal,CONTROL-SURFACE,promote_audit_surface,candidate,"Useful for CAP audit routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C052,VTB-052,mmd-001-cap-visual-control-model,INT,INTEGRATION: data/sync,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C053,VTB-053,mmd-001-cap-visual-control-model,TRG,Trigger registry,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
