Review ID,Trigger Ref,Working Name,Definition Status From Map,Canon Level From Map,Publication Lane From Map,Review Lane Now,Strongest Direct Source,XPORT-002 Samples,XPORT-002 Role,Decision Now,Allowed Claim Now,Blocked Claim Now,Review Gates,Next Source Action,Notes
SOURCE174210-R011,184,Innere Buendelungszone,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R012,185,Aussen-Filterresonanz,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R013,186,Energiezuteilungspunkt,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R014,187,Reizantwort-Umcodierer,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R015,188,Erwartungsumkehr,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R016,189,Stilleinbruch-Induktor,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R017,190,Denkfeld-Magnetisierung,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R018,191,Selbstkontakt-Anker,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R019,192,Denkimpuls-Detektor,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R020,193,Zielbewusstseins-Booster,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R021,194,Mentale Vibrationstransparenz,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R022,195,Inneres Abgleichfenster,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R023,196,Stoerfeld-Entkoppler,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R024,197,Authentizitaetspegel,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R025,198,Verlangsamungsbefehl,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R026,199,Systemeinklang-Abgleich,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R027,200,Impuls-Ziel-Lotung,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R028,201,Verdeckungs-Aufloesungsmodul,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R029,202,Denkspannung-Pendel,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R030,203,Intentions-Spiegel,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R031,204,Echo-Segmentierung,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R032,205,Impuls-Stopp-Schleife,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,protected_biz_ip_review,cap_ii_tokenomics_ip_gate,N-CODEX139-174210,xport2-sample-001;xport2-sample-002;xport2-sample-003;xport2-sample-004;xport2-sample-005;xport2-sample-006;xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;biz_tokenomics_review;ip_review;xport_002_sample_review;tnpx_01_cap_ii_review,"review xport2 tokenomics-trigger P1 samples; compare with TNPX-01, CAP-II/Revoke and tokenomics before any public claim",171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R033,206,Meta-Fokus-Trennung,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,protected_biz_ip_review,cap_ii_tokenomics_ip_gate,N-CODEX139-174210,xport2-sample-001;xport2-sample-002;xport2-sample-003;xport2-sample-004;xport2-sample-005;xport2-sample-006;xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;biz_tokenomics_review;ip_review;xport_002_sample_review;tnpx_01_cap_ii_review,"review xport2 tokenomics-trigger P1 samples; compare with TNPX-01, CAP-II/Revoke and tokenomics before any public claim",171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R034,207,Regenerationsraster,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,protected_biz_ip_review,cap_ii_tokenomics_ip_gate,N-CODEX139-174210,xport2-sample-001;xport2-sample-002;xport2-sample-003;xport2-sample-004;xport2-sample-005;xport2-sample-006;xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;biz_tokenomics_review;ip_review;xport_002_sample_review;tnpx_01_cap_ii_review,"review xport2 tokenomics-trigger P1 samples; compare with TNPX-01, CAP-II/Revoke and tokenomics before any public claim",171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R035,208,Inneres Warnsystem,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,protected_biz_ip_review,cap_ii_tokenomics_ip_gate,N-CODEX139-174210,xport2-sample-001;xport2-sample-002;xport2-sample-003;xport2-sample-004;xport2-sample-005;xport2-sample-006;xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;biz_tokenomics_review;ip_review;sensitivity_language_review;xport_002_sample_review;tnpx_01_cap_ii_review,"review xport2 tokenomics-trigger P1 samples; compare with TNPX-01, CAP-II/Revoke and tokenomics before any public claim",171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R036,209,Kontrollpunkt-Verschiebung,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,protected_biz_ip_review,cap_ii_tokenomics_ip_gate,N-CODEX139-174210,xport2-sample-001;xport2-sample-002;xport2-sample-003;xport2-sample-004;xport2-sample-005;xport2-sample-006;xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;biz_tokenomics_review;ip_review;xport_002_sample_review;tnpx_01_cap_ii_review,"review xport2 tokenomics-trigger P1 samples; compare with TNPX-01, CAP-II/Revoke and tokenomics before any public claim",171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R037,210,Frequenz-Fokus-Einrastung,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,protected_biz_ip_review,cap_ii_tokenomics_ip_gate,N-CODEX139-174210,xport2-sample-001;xport2-sample-002;xport2-sample-003;xport2-sample-004;xport2-sample-005;xport2-sample-006;xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_protected_biz_ip_review_pending_xport_tnpx_tokenomics,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;biz_tokenomics_review;ip_review;xport_002_sample_review;tnpx_01_cap_ii_review,"review xport2 tokenomics-trigger P1 samples; compare with TNPX-01, CAP-II/Revoke and tokenomics before any public claim",171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
