Sample Handle,Review Focus,Trigger Ref,Working Name,Name Hits,Number Hits,Definition Term Overlap,Definition Term Total,Source Anchor Count,CAPII Anchor Count,Strongest Window Chars,Excerpt Gate Decision,Confidence,Allowed Use Now,Blocked Use Now,Next Action
xport2-sample-002,tokenomics_trigger_shared,187,Reizantwort-Umcodierer,2,2,0,6,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,188,Erwartungsumkehr,2,4,0,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,189,Stilleinbruch-Induktor,2,6,2,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,190,Denkfeld-Magnetisierung,2,4,1,6,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,191,Selbstkontakt-Anker,2,10,2,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,192,Denkimpuls-Detektor,2,10,0,6,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,193,Zielbewusstseins-Booster,2,4,0,8,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,194,Mentale Vibrationstransparenz,2,8,1,9,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,195,Inneres Abgleichfenster,2,6,1,8,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,196,Stoerfeld-Entkoppler,0,26,0,8,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-002,tokenomics_trigger_shared,197,Authentizitaetspegel,2,10,0,8,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,198,Verlangsamungsbefehl,2,10,2,6,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,199,Systemeinklang-Abgleich,2,8,0,6,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,6,18,2,7,4,1,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,201,Verdeckungs-Aufloesungsmodul,0,12,0,7,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-002,tokenomics_trigger_shared,202,Denkspannung-Pendel,2,10,2,8,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,203,Intentions-Spiegel,2,10,0,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,204,Echo-Segmentierung,2,6,0,5,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,205,Impuls-Stopp-Schleife,2,4,0,5,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,206,Meta-Fokus-Trennung,2,6,2,9,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,207,Regenerationsraster,2,6,1,6,5,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,208,Inneres Warnsystem,4,6,1,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-002,tokenomics_trigger_shared,209,Kontrollpunkt-Verschiebung,4,8,0,5,2,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-002,tokenomics_trigger_shared,210,Frequenz-Fokus-Einrastung,6,74,0,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-003,tokenomics_trigger_shared,174,Impulsumkehrfeld,0,1,0,7,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,175,Kernabsichtsfilter,0,10,0,6,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,176,Synchronisationsfenster,0,1,0,10,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,177,Traumaschnittstelle,0,1,0,7,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,178,Resonanzresetpunkt,0,1,0,7,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,179,Verdichtungszone,4,12,0,6,1,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-003,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,0,7,0,10,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,181,Meta-Rhythmus-Slot,4,1,0,7,1,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-003,tokenomics_trigger_shared,182,Ueberspannungsablauf,4,9,2,7,1,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-003,tokenomics_trigger_shared,183,Selbstbild-Neusatz,0,1,0,6,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,184,Innere Buendelungszone,0,2,0,7,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,185,Aussen-Filterresonanz,0,1,0,7,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,186,Energiezuteilungspunkt,0,9,0,8,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-003,tokenomics_trigger_shared,190,Denkfeld-Magnetisierung,0,14,0,6,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
