title,category,type,size_bytes,sha256,sensitivity,source
Notion ↔ ChatGPT System-Architektur,sync architecture,md,567,05d3746d16340a397bc1c79b73aa16e0d2d4043b36ebf8da143d4e29da6de0d7,patent/ip,Notion ↔ ChatGPT System-Architektur e9279102932442b691575cfb9d15c8e8 (2).md
Ordner 02: Codex & Trigger Detail,trigger register,md,462,395c21b17dc8a6b23276241067f0823aa0bca9682c555839c96f38a3c80960d2,patent/ip,Ordner 02 Codex & Trigger Detail 36f0180afaeb428d96ec27a16a4e9ff9 (2).md
Ordner 02: Codex & Trigger Detail,trigger register,md,606,4cece75e47884f52c129528cf20525899409381fa2ff1a535c80bcd05cf9bc2e,patent/ip,Ordner 02 Codex & Trigger Detail a307b770474646afaa11ee481fba27f0 (2).md
Ordner 05: Produkte & Services Detail,product/service,md,453,c02d011727a4a8d1b86c5b01690ec11406a305d16a58d006c28e6dcdc9174e64,private,Ordner 05 Produkte & Services Detail 370fd961f6764ce5baf610357725109e (2).md
Ordner 05: Produkte & Services Detail,product/service,md,591,19a7a63d06dc60e59124abaf5e2cf4809c130fe4f6e1935ec8e28a3574ac4de6,private,Ordner 05 Produkte & Services Detail c3110d7377494d1db7c4c44868f9375e (2).md
Ordner 06: Technische Dokumentation Detail,technical documentation,md,447,c325e4677e180d760e7498d8ae9b495bf37f1581bd3cfebb9d1796759bde58a1,patent/ip,Ordner 06 Technische Dokumentation Detail 71a6e9275b8642b6979701125c6c1114 (2).md
Ordner 06: Technische Dokumentation Detail,technical documentation,md,603,4a703ab15066d90e57b0f7fb1e71cf87152532002be58de19cdc04c8e2eb0628,patent/ip,Ordner 06 Technische Dokumentation Detail 9555f9387e7e48f98506ead6bcd1577b (2).md
Session Log – Outreach Savepoint,outreach,md,6335,19c0fb923b8ebe86045f7f78484291e4f5227b6feb3aad5781d4b13898e9862e,external/public;patent/ip,Session Log – Outreach Savepoint 26985eab900445adad2a127228284b61 (2).md
Terra Nova Master Overview – Complete Workspace,master overview,md,3165,64dc952c56b2c7be94cbd462e8f315483338a1e40b756a3fa31e5fe0ad74cb00,external/public;patent/ip;private;token/wallet,Terra Nova Master Overview – Complete Workspace 5db5127f7bd2424ab5ab5aa98d91f6ef (2).md
Terra Nova Master Overview – Complete Workspace,master overview,md,679,3e91cf44ef3be29149cf3f9d2ea48a268fc41eb1f699fb7d0fbbd410631b5607,patent/ip;private,Terra Nova Master Overview – Complete Workspace 804b5b9239dd4702b51938be1ad0e2d3 (2).md
Terra Nova Outreach Artefakt – apertus & AI Connect,outreach,md,4544,eef399ae857737c583bbf0b6e7f7879d772fa0fb686c89567b3d57c653d17503,external/public;patent/ip,Terra Nova Outreach Artefakt – apertus & AI Connec 79b6490f2f604eb48870bf599032ed43 (2).md
TerraNova System Atlas — CIC Framework Overview,landing atlas,md,12744,af81d40ebec569e0e0a8d9da39581765a50d892f6d8f7132c2dfb9dda1e0bcf6,external/public;patent/ip;private;raw-chat;token/wallet;trigger-depth,TerraNova System Atlas — CIC Framework Overview fcd6cce055c843069b46ec82b2e99bac (2).md
TerraNova / FerrAI – All-in-One Export,all-in-one bundle,md,188731,45468cfa9b7265ccb87189ab0e928eae0f545ddff054bf3353557e8db925cd78,external/public;patent/ip;private;raw-chat;token/wallet;trigger-depth,TerraNova_AllInOne (2).md
TokenAccess – TriggerMap (988-992),token/blockchain,md,527,3ec4373d61f0637a8b0364b0487afebc18df254082ea10b9032d46e3d2df6fe6,patent/ip;token/wallet;trigger-depth,TokenAccess – TriggerMap (988-992) 5c041d2fd1fd4c0e993c1a44d481313c (2).md
TokenAccess – TriggerMap (988-992),token/blockchain,md,624,a27834ff04939b0fcaaa9a694f257714fa75526086e1d4aa659bc4a684c88d89,patent/ip;token/wallet;trigger-depth,TokenAccess – TriggerMap (988-992) c8319d40b7e64712807bce59fe31b469 (2).md
Unbenannt,source note,md,2041,22e69e7ff9942f1e3cf1c56aebeb8c5e33425769f6eb5298f19f410658099461,token/wallet,Unbenannt 03000087272b49958c0d678cf4c9081d (2).md
Unbenannt,source note,md,116,b20b0af3d6e8f35371f58441ecd485902c9f4c1ee2ea93ad6e9e449e214299f7,,Unbenannt 2e6f7297de7e80548267f794947d60bd (2).md
Unbenannt,source note,md,116,b20b0af3d6e8f35371f58441ecd485902c9f4c1ee2ea93ad6e9e449e214299f7,,Unbenannt 2e6f7297de7e8097a0bcf131a71920c8 (2).md
Unbenannt,source note,md,111,fdb71b0a4e57c385740d4e339a78a48b956bc29a0ab9f97397195ab78f9adf53,,Unbenannt 31cf7297de7e80ca9c47c1cab2e6539d (2).md
Unbenannt,source note,md,1232,d6c2df9414465551aa6586eab8d5b0c494a98d3d6086c5cb4963286234da2dc6,,Unbenannt 370379452c0944e1beed4766a5bc300c (2).md
⚡ Trigger-System — Deep Reference (1–992),trigger register,md,9119,5f67428b0361d9d7cbae716335798985503069d7592d29d8a78a03967c76ff47,patent/ip;private;token/wallet;trigger-depth,⚡ Trigger-System — Deep Reference (1–992) 76520fbd9e7842a086abd8623caa0bea (2).md
🌿 Mermaid als lebendiger Trigger-Organismus – Konzept & Manifest v1.0,mermaid manifesto,md,9703,c5aca71963a76d443e5071fcbcc0d272a850db0c4f805521771d0e1730b2fe5f,external/public;patent/ip;private;trigger-depth,🌿 Mermaid als lebendiger Trigger-Organismus – Konz 2e8c384b79d841979068f3595ecbde00 (2).md
📊 Mermaid Diagrams – Code Library,diagram registry,csv,697,2b3f3c894d80fd150fbf9279489580bb4932746be4738e1476f1bd70636dd7c6,token/wallet,📊 Mermaid Diagrams – Code Library 8ce614de6f674ce3bc46a165c573d7f9 (2).csv
📊 Mermaid Diagrams – Code Library 8ce614de6f674ce3bc46a165c573d7f9 all,diagram registry,csv,7454,d80503a9f2ab1e66ac870c4f153a6f02a5878752ad6f6ba075c11c554c46dcba,patent/ip;private;token/wallet;trigger-depth,📊 Mermaid Diagrams – Code Library 8ce614de6f674ce3bc46a165c573d7f9_all (2).csv
"🔗 Blockchain, Token & Live-Daten",token/blockchain,md,3975,17f6679d08c81fa9ea2e23ee81a89e54571ce8786db4cd857e6d103a99eb5074,external/public;patent/ip;raw-chat;token/wallet,"🔗 Blockchain, Token & Live-Daten 2e8a08b17d644fbb9cf3eb2711e47436 (2).md"
🧠 Frameworks & Eigenkonzepte,framework reference,md,10781,abafaceb5a6893ce0f09575a6230f806b2513328480635a02cfcc957d94052e2,external/public;patent/ip;private;raw-chat;trigger-depth,🧠 Frameworks & Eigenkonzepte 5fb0516d10d649cca75e63b0fea1172f (2).md
